,ticker
0,AXISBANK
1,BAJFINANCE
2,BAJAJFINSV
3,BAJAJHLDNG
4,CHOLAFIN
5,HDFCAMC
6,HDFCBANK
7,HDFCLIFE
8,HDFC
9,ICICIBANK
10,ICICIGI
11,ICICIPRULI
12,KOTAKBANK
13,M&MFIN
14,PEL
15,PFC
16,RECLTD
17,SBILIFE
18,SRTRANSFIN
19,SBIN
20,ADANIGREEN
21,ADANITRANS
22,BPCL
23,GAIL
24,IOC
25,NTPC
26,ONGC
27,POWERGRID
28,RELIANCE
29,TATAPOWER
30,3MINDIA
31,ABB
32,AAVAS
33,ABBOTINDIA
34,AMBUJACEM
35,ASHOKLEY
36,BATAINDIA
37,BOSCHLTD
38,BRITANNIA
39,CASTROLIND
40,COLPAL
41,CUMMINSIND
42,GLAND
43,GLAXO
44,HINDUNILVR
45,HONAUT
46,KANSAINER
47,MARUTI
48,MPHASIS
49,NESTLEIND
50,OFSS
51,PFIZER
52,PGHH
53,SANOFI
54,SIEMENS
55,UBL
56,MCDOWELL-N
57,VEDL
58,IDEA
59,WHIRLPOOL
60,AIAENG
61,APLAPOLLO
62,AUBANK
63,AARTIIND
64,ATGL
65,ABCAPITAL
66,ABFRL
67,AFFLE
68,AJANTPHARM
69,APLLTD
70,ALKEM
71,ALKYLAMINE
72,AMARAJABAT
73,APOLLOTYRE
74,ASTRAL
75,ATUL
76,BALKRISIND
77,BANKINDIA
78,BAYERCROP
79,BEL
80,BHARATFORG
81,BHEL
82,BLUEDART
83,CRISIL
84,CANBK
85,CHOLAHLDNG
86,CUB
87,COFORGE
88,CONCOR
89,COROMANDEL
90,CROMPTON
91,DALBHARAT
92,DEEPAKNTR
93,DHANI
94,DIXON
95,LALPATHLAB
96,EMAMILTD
97,ENDURANCE
98,ESCORTS
99,EXIDEIND
100,FEDERALBNK
101,FORTIS
102,GICRE
103,GILLETTE
104,GLENMARK
105,GODREJIND
106,GODREJPROP
107,GUJGASLTD
108,GSPL
109,HATSUN
110,HAL
111,HINDCOPPER
112,HINDZINC
113,ISEC
114,IDFCFIRSTB
115,ITI
116,INDIAMART
117,INDIANB
118,INDHOTEL
119,IRCTC
120,IRFC
121,IPCALAB
122,JKCEMENT
123,JSWENERGY
124,KAJARIACER
125,L&TFH
126,LTTS
127,LICHSGFIN
128,LAURUSLABS
129,LINDEINDIA
130,MRF
131,LODHA
132,MGL
133,MANAPPURAM
134,MFSL
135,MAXHEALTH
136,METROPOLIS
137,MINDTREE
138,MINDAIND
139,MOTILALOFS
140,NATCOPHARM
141,NHPC
142,NATIONALUM
