Company Name,Industry,Symbol,Series,ISIN Code
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034
Reliance Industries Ltd.,OIL & GAS,RELIANCE,EQ,INE002A01018
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036
Infosys Ltd.,IT,INFY,EQ,INE009A01021
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
Laurus Labs Ltd.,PHARMA,LAURUSLABS,EQ,INE947Q01028
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,EQ,INE239A01016
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013
Jubilant Foodworks Ltd.,CONSUMER GOODS,JUBLFOOD,EQ,INE797F01012
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,EQ,INE935N01012
Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES,MCX,EQ,INE745G01035
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,EQ,INE603J01030
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014
MRF Ltd.,AUTOMOBILE,MRF,EQ,INE883A01011
Trent Ltd.,CONSUMER GOODS,TRENT,EQ,INE849A01020
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01024
Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX,EQ,INE022Q01020
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010
Ipca Laboratories Ltd.,PHARMA,IPCALAB,EQ,INE571A01020
Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,EQ,INE288B01029
Adani Green Energy Ltd.,POWER,ADANIGREEN,EQ,INE364U01010
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,EQ,INE299U01018
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
SRF Ltd.,INDUSTRIAL MANUFACTURING,SRF,EQ,INE647A01010
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,EQ,INE491A01021
Persistent Systems Ltd.,IT,PERSISTENT,EQ,INE262H01013
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01035
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026
IDFC Ltd.,FINANCIAL SERVICES,IDFC,EQ,INE043D01016
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL,EQ,INE180A01020
Procter & Gamble Health Ltd.,PHARMA,PGHL,EQ,INE199A01012
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026
Kajaria Ceramics Ltd.,CONSTRUCTION,KAJARIACER,EQ,INE217B01036
Sundaram Finance Ltd.,FINANCIAL SERVICES,SUNDARMFIN,EQ,INE660A01013
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01021
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038
REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021
Avenue Supermarts Ltd.,CONSUMER GOODS,DMART,EQ,INE192R01011
Strides Pharma Science Ltd.,PHARMA,STAR,EQ,INE939A01011
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,EQ,INE472A01039
Adani Enterprises Ltd.,SERVICES,ADANIENT,EQ,INE423A01024
MphasiS Ltd.,IT,MPHASIS,EQ,INE356A01018
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016
Info Edge (India) Ltd.,IT,NAUKRI,EQ,INE663F01024
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027
Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,SUPREMEIND,EQ,INE195A01028
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022
Indiamart Intermesh Ltd.,IT,INDIAMART,EQ,INE933S01016
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,EQ,INE192A01025
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,EQ,INE191H01014
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,EQ,INE765G01017
Atul Ltd.,CHEMICALS,ATUL,EQ,INE100A01010
Aarti Industries Ltd.,CHEMICALS,AARTIIND,EQ,INE769A01020
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
Kec International Ltd.,CONSTRUCTION,KEC,EQ,INE389H01022
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,EQ,INE522D01027
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,EQ,INE006I01046
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030
Adani Gas Ltd.,OIL & GAS,ADANIGAS,EQ,INE399L01023
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,EQ,INE169A01031
Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,EQ,INE736A01011
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,EQ,INE213A01029
Suven Pharmaceuticals Ltd.,PHARMA,SUVENPHAR,EQ,INE03QK01018
Cyient Ltd.,IT,CYIENT,EQ,INE136B01020
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR,EQ,INE048G01026
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT,EQ,INE00R701025
Emami Ltd.,CONSUMER GOODS,EMAMILTD,EQ,INE548C01032
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01019
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,EQ,INE120A01034
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028
NATCO Pharma Ltd.,PHARMA,NATCOPHARM,EQ,INE987B01026
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020
Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE,EQ,INE183A01016
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028
Varun Beverages Ltd.,CONSUMER GOODS,VBL,EQ,INE200M01013
Indian Hotels Co. Ltd.,SERVICES,INDHOTEL,EQ,INE053A01029
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,EQ,INE545U01014
Tube Investments of India Ltd.,AUTOMOBILE,TIINDIA,EQ,INE974X01010
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,EQ,INE298A01020
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
Pfizer Ltd.,PHARMA,PFIZER,EQ,INE182A01018
Aegis Logistics Ltd.,OIL & GAS,AEGISCHEM,EQ,INE208C01025
Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN,EQ,INE334L01012
Vodafone Idea Ltd.,TELECOM,IDEA,EQ,INE669E01016
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,EQ,INE061F01013
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,EQ,INE572A01028
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY,EQ,INE126A01031
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,EQ,INE092T01019
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026
Sanofi India Ltd.,PHARMA,SANOFI,EQ,INE058A01010
Tata Communications Ltd.,TELECOM,TATACOMM,EQ,INE151A01013
Quess Corp Ltd.,SERVICES,QUESS,EQ,INE615P01015
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036
Birlasoft Ltd.,IT,BSOFT,EQ,INE836A01035
Redington (India) Ltd.,SERVICES,REDINGTON,EQ,INE891D01026
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,EQ,INE212H01026
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012
Kansai Nerolac Paints Ltd.,CONSUMER GOODS,KANSAINER,EQ,INE531A01024
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,EQ,INE371P01015
Dhani Services Ltd.,FINANCIAL SERVICES,DHANI,EQ,INE274G01010
Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,HONAUT,EQ,INE671A01010
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035
Indian Oil Corporation Ltd.,OIL & GAS,IOC,EQ,INE242A01010
Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,EQ,INE716A01013
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,EQ,INE600L01024
Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,HAL,EQ,INE066F01012
Karur Vysya Bank Ltd.,FINANCIAL SERVICES,KARURVYSYA,EQ,INE036D01028
Ratnamani Metals & Tubes Ltd.,METALS,RATNAMANI,EQ,INE703B01027
Syngene International Ltd.,PHARMA,SYNGENE,EQ,INE398R01022
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020
Sterlite Technologies Ltd.,TELECOM,STLTECH,EQ,INE089C01029
Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN,EQ,INE325A01013
Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP,EQ,INE285A01027
Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,LAXMIMACH,EQ,INE269B01029
J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKCEMENT,EQ,INE823G01014
Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES,BAYERCROP,EQ,INE462A01022
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO,EQ,INE159A01016
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034
