Company Name,Industry,Symbol,Series,ISIN Code
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01027
Adani Enterprises Ltd.,METALS,ADANIENT,EQ,INE423A01024
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Adani Total Gas Ltd.,OIL & GAS,ATGL,BE,INE399L01023
Adani Transmission Ltd.,POWER,ADANITRANS,BE,INE931S01010
Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,EQ,INE150B01039
Angel One Ltd.,FINANCIAL SERVICES,ANGELONE,EQ,INE732I01013
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
Astral Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,EQ,INE006I01046
BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025
Birlasoft Ltd.,IT,BSOFT,EQ,INE836A01035
Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,EQ,INE736A01011
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013
Coforge Ltd.,IT,COFORGE,EQ,INE591G01017
Computer Age Management Services Ltd.,FINANCIAL SERVICES,CAMS,EQ,INE596I01012
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT,EQ,INE00R701025
Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,EQ,INE288B01029
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,EQ,INE935N01020
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,EQ,INE600L01024
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,EQ,INE061F01013
Gujarat Gas Ltd.,OIL & GAS,GUJGASLTD,EQ,INE844O01030
HFCL Ltd.,TELECOM,HFCL,EQ,INE548A01028
Happiest Minds Technologies Ltd.,IT,HAPPSTMNDS,EQ,INE419U01012
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020
Hindustan Copper Ltd.,METALS,HINDCOPPER,EQ,INE531E01026
Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX,EQ,INE022Q01020
Indian Railway Catering And Tourism Corporation Ltd.,SERVICES,IRCTC,EQ,INE335Y01020
JSW Energy Ltd.,POWER,JSWENERGY,BE,INE121E01018
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038
KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,KEI,EQ,INE878B01027
KPIT Technologies Ltd.,IT,KPITTECH,EQ,INE04I401011
L&T Technology Services Ltd.,IT,LTTS,EQ,INE010V01017
Larsen & Toubro Infotech Ltd.,IT,LTI,EQ,INE214T01019
Laurus Labs Ltd.,PHARMA,LAURUSLABS,EQ,INE947Q01028
Linde India Ltd.,CHEMICALS,LINDEINDIA,EQ,INE473A01011
Max Healthcare Institute Ltd.,HEALTHCARE SERVICES,MAXHEALTH,EQ,INE027H01010
MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017
MphasiS Ltd.,IT,MPHASIS,EQ,INE356A01018
Persistent Systems Ltd.,IT,PERSISTENT,EQ,INE262H01013
Polycab India Ltd.,INDUSTRIAL MANUFACTURING,POLYCAB,EQ,INE455K01017
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
Tata Chemicals Ltd.,CHEMICALS,TATACHEM,EQ,INE092A01019
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,EQ,INE192A01025
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
