Company Name,Industry,Symbol,Series,ISIN Code
Tata Chemicals Ltd.,CHEMICALS,TATACHEM,EQ,INE092A01019
Tata Communications Ltd.,TELECOM,TATACOMM,EQ,INE151A01013
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,EQ,INE192A01025
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028
Trent Ltd.,CONSUMER SERVICES,TRENT,EQ,INE849A01020
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021
