Company Name,Industry,Symbol,Series,ISIN Code
Adani Green Energy Ltd.,POWER,ADANIGREEN,EQ,INE364U01010
Adani Transmission Ltd.,POWER,ADANITRANS,BE,INE931S01010
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019
Indian Oil Corporation Ltd.,OIL & GAS,IOC,EQ,INE242A01010
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,EQ,INE213A01029
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010
Reliance Industries Ltd.,OIL & GAS,RELIANCE,EQ,INE002A01018
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021
