Company Name,Industry,Symbol,Series,ISIN Code
Affle (India) Ltd.,IT,AFFLE,EQ,INE00WC01027
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024
Birlasoft Ltd.,IT,BSOFT,EQ,INE836A01035
Coforge Ltd.,IT,COFORGE,EQ,INE591G01017
Cyient Ltd.,IT,CYIENT,EQ,INE136B01020
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
Happiest Minds Technologies Ltd.,IT,HAPPSTMNDS,EQ,INE419U01012
Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,HONAUT,EQ,INE671A01010
Indiamart Intermesh Ltd.,CONSUMER SERVICES,INDIAMART,EQ,INE933S01016
Indian Railway Catering And Tourism Corporation Ltd.,SERVICES,IRCTC,EQ,INE335Y01020
Info Edge (India) Ltd.,CONSUMER SERVICES,NAUKRI,EQ,INE663F01024
Infosys Ltd.,IT,INFY,EQ,INE009A01021
Intellect Design Arena Ltd.,IT,INTELLECT,EQ,INE306R01017
Justdial Ltd.,CONSUMER SERVICES,JUSTDIAL,EQ,INE599M01018
L&T Technology Services Ltd.,IT,LTTS,EQ,INE010V01017
Larsen & Toubro Infotech Ltd.,IT,LTI,EQ,INE214T01019
MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017
MphasiS Ltd.,IT,MPHASIS,EQ,INE356A01018
Oracle Financial Services Software Ltd.,IT,OFSS,EQ,INE881D01027
Persistent Systems Ltd.,IT,PERSISTENT,EQ,INE262H01013
Sonata Software Ltd.,IT,SONATSOFTW,EQ,INE269A01021
Sterlite Technologies Ltd.,TELECOM,STLTECH,EQ,INE089C01029
Tanla Platforms Ltd.,IT,TANLA,EQ,INE483C01032
Tata Communications Ltd.,TELECOM,TATACOMM,EQ,INE151A01013
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
Vodafone Idea Ltd.,TELECOM,IDEA,EQ,INE669E01016
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
