Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021
Hindustan Petroleum Corporation Ltd.,OIL & GAS,HINDPETRO,EQ,INE094A01015
Indian Oil Corporation Ltd.,OIL & GAS,IOC,EQ,INE242A01010
Indraprastha Gas Ltd.,OIL & GAS,IGL,EQ,INE203G01027
Indus Towers Ltd.,TELECOM,INDUSTOWER,EQ,INE121J01017
InterGlobe Aviation Ltd.,SERVICES,INDIGO,EQ,INE646L01027
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030
MRF Ltd.,AUTOMOBILE,MRF,EQ,INE883A01011
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,EQ,INE213A01029
Petronet LNG Ltd.,OIL & GAS,PETRONET,EQ,INE347G01014
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010
Reliance Industries Ltd.,OIL & GAS,RELIANCE,EQ,INE002A01018
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011
