Company Name,Industry,Symbol,Series,ISIN Code
ADF Foods Ltd.,CONSUMER GOODS,ADFFOODS,EQ,INE982B01019
AGC Networks Ltd.,IT,AGCNET,EQ,INE676A01019
Accelya Solutions India Ltd.,IT,ACCELYA,EQ,INE793A01012
Action Construction Equipment Ltd.,INDUSTRIAL MANUFACTURING,ACE,EQ,INE731H01025
Agro Tech Foods Ltd.,CONSUMER GOODS,ATFL,EQ,INE209A01019
Ahluwalia Contracts (India) Ltd.,CONSTRUCTION,AHLUCONT,EQ,INE758C01029
Amrutanjan Health Care Ltd.,PHARMA,AMRUTANJAN,EQ,INE098F01031
Andhra Paper Ltd.,PAPER AND JUTE,ANDHRAPAP,EQ,INE435A01028
Andhra Sugars Ltd.,CHEMICALS,ANDHRSUGAR,EQ,INE715B01013
Apar Industries Ltd.,INDUSTRIAL MANUFACTURING,APARINDS,EQ,INE372A01015
Apcotex Industries Ltd.,INDUSTRIAL MANUFACTURING,APCOTEXIND,EQ,INE116A01032
Apex Frozen Foods Ltd.,CONSUMER GOODS,APEX,EQ,INE346W01013
Arvind Fashions Ltd.,CONSUMER SERVICES,ARVINDFASN,EQ,INE955V01021
Arvind Ltd.,TEXTILES,ARVIND,EQ,INE034A01011
Ashiana Housing Ltd.,CONSTRUCTION,ASHIANA,EQ,INE365D01021
Asian Granito India Ltd.,CONSUMER GOODS,ASIANTILES,EQ,INE022I01019
Astec LifeSciences Ltd.,FERTILISERS & PESTICIDES,ASTEC,EQ,INE563J01010
Astra Microwave Products Ltd.,INDUSTRIAL MANUFACTURING,ASTRAMICRO,EQ,INE386C01029
Automotive Axles Ltd.,AUTOMOBILE,AUTOAXLES,EQ,INE449A01011
BF Investment Ltd.,FINANCIAL SERVICES,BFINVEST,EQ,INE878K01010
BF Utilities Ltd.,CONSTRUCTION,BFUTILITIE,EQ,INE243D01012
BLS International Services Ltd.,SERVICES,BLS,EQ,INE153T01027
Bajaj Hindusthan Sugar Ltd.,CONSUMER GOODS,BAJAJHIND,EQ,INE306A01021
Banco Products (India) Ltd.,AUTOMOBILE,BANCOINDIA,EQ,INE213C01025
Bhansali Engineering Polymers Ltd.,CHEMICALS,BEPL,EQ,INE922A01025
Bodal Chemicals Ltd.,CHEMICALS,BODALCHEM,EQ,INE338D01028
Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,BOMDYEING,EQ,INE032A01023
Borosil Ltd.,CONSUMER GOODS,BOROLTD,EQ,INE02PY01013
Borosil Renewables Ltd.,INDUSTRIAL MANUFACTURING,BORORENEW,EQ,INE666D01022
CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING,EQ,INE752H01013
CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,CGPOWER,EQ,INE067A01029
Camlin Fine Sciences Ltd.,CHEMICALS,CAMLINFINE,EQ,INE052I01032
Capacite Infraprojects Ltd.,CONSTRUCTION,CAPACITE,EQ,INE264T01014
Centrum Capital Ltd.,FINANCIAL SERVICES,CENTRUM,EQ,INE660C01027
Chemcon Speciality Chemicals Ltd.,CHEMICALS,CHEMCON,EQ,INE03YM01018
Chennai Petroleum Corporation Ltd.,OIL & GAS,CHENNPETRO,EQ,INE178A01016
Cigniti Technologies Ltd.,IT,CIGNITITEC,EQ,INE675C01017
Clariant Chemicals (India) Ltd.,CHEMICALS,CLNINDIA,EQ,INE492A01029
Confidence Petroleum India Ltd.,OIL & GAS,CONFIPET,EQ,INE552D01024
Cosmo Films Ltd.,INDUSTRIAL MANUFACTURING,COSMOFILMS,EQ,INE757A01017
D.B.Corp Ltd.,"MEDIA, ENTERTAINMENT & PUBLICATION",DBCORP,EQ,INE950I01011
DFM Foods Ltd.,CONSUMER GOODS,DFMFOODS,EQ,INE456C01020
Dalmia Bharat Sugar and Industries Ltd.,CONSUMER GOODS,DALMIASUG,EQ,INE495A01022
Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS,DEEPAKFERT,EQ,INE501A01019
Dhampur Sugar Mills Ltd.,CONSUMER GOODS,DHAMPURSUG,EQ,INE041A01016
Dolat Investments Ltd.,FINANCIAL SERVICES,DOLAT,EQ,INE966A01022
Dollar Industries Ltd.,TEXTILES,DOLLAR,EQ,INE325C01035
Dredging Corporation of India Ltd.,SERVICES,DREDGECORP,EQ,INE506A01018
ESAB India Ltd.,INDUSTRIAL MANUFACTURING,ESABINDIA,EQ,INE284A01012
Electrosteel Castings Ltd.,INDUSTRIAL MANUFACTURING,ELECTCAST,EQ,INE086A01029
Equitas Small Finance Bank Ltd.,FINANCIAL SERVICES,EQUITASBNK,EQ,INE063P01018
Eveready Industries India Ltd.,CONSUMER GOODS,EVEREADY,EQ,INE128A01029
Excel Industries Ltd.,CHEMICALS,EXCELINDUS,EQ,INE369A01029
Fertilisers and Chemicals Travancore Ltd.,FERTILISERS & PESTICIDES,FACT,EQ,INE188A01015
Fiem Industries Ltd,AUTOMOBILE,FIEMIND,EQ,INE737H01014
Filatex India Ltd.,TEXTILES,FILATEX,EQ,INE816B01027
Force Motors Ltd.,AUTOMOBILE,FORCEMOT,EQ,INE451A01017
Future Enterprises Ltd.,CONSUMER SERVICES,FEL,EQ,INE623B01027
Future Lifestyle Fashions Ltd.,CONSUMER SERVICES,FLFL,EQ,INE452O01016
G.M. Breweries Ltd.,CONSUMER GOODS,GMBREW,EQ,INE075D01018
GE T&D India Ltd.,INDUSTRIAL MANUFACTURING,GET&D,EQ,INE200A01026
GOCL Corporation Ltd.,CHEMICALS,GOCLCORP,EQ,INE077F01035
GTL Infrastructure Ltd.,TELECOM,GTLINFRA,EQ,INE221H01019
Gabriel India Ltd.,AUTOMOBILE,GABRIEL,EQ,INE524A01029
Gateway Distriparks Ltd.,SERVICES,GDL,EQ,INE852F01015
Gati Ltd.,SERVICES,GATI,EQ,INE152B01027
Genus Power Infrastructures Ltd.,INDUSTRIAL MANUFACTURING,GENUSPOWER,EQ,INE955D01029
Geojit Financial Services Ltd.,FINANCIAL SERVICES,GEOJITFSL,EQ,INE007B01023
Godawari Power & Ispat Ltd.,METALS,GPIL,EQ,INE177H01013
Goodyear India Ltd.,AUTOMOBILE,GOODYEAR,EQ,INE533A01012
Greenlam Industries Ltd.,CONSUMER GOODS,GREENLAM,EQ,INE544R01013
Greenpanel Industries Ltd.,CONSUMER GOODS,GREENPANEL,EQ,INE08ZM01014
Greenply Industries Ltd.,CONSUMER GOODS,GREENPLY,EQ,INE461C01038
Gujarat Industries Power Co. Ltd.,POWER,GIPCL,EQ,INE162A01010
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,EQ,INE131A01031
H.G. Infra Engineering Ltd.,CONSTRUCTION,HGINFRA,EQ,INE926X01010
HBL Power Systems Ltd.,INDUSTRIAL MANUFACTURING,HBLPOWER,EQ,INE292B01021
HIL Ltd.,CONSUMER GOODS,HIL,EQ,INE557A01011
Healthcare Global Enterprises Ltd.,HEALTHCARE SERVICES,HCG,EQ,INE075I01017
Heritage Foods Ltd.,CONSUMER GOODS,HERITGFOOD,EQ,INE978A01027
Hester Biosciences Ltd.,PHARMA,HESTERBIO,EQ,INE782E01017
Hikal Ltd.,PHARMA,HIKAL,EQ,INE475B01022
Himatsingka Seide Ltd.,TEXTILES,HIMATSEIDE,EQ,INE049A01027
Hinduja Global Solutions Ltd.,IT,HGS,EQ,INE170I01016
Hindustan Construction Co. Ltd.,CONSTRUCTION,HCC,EQ,INE549A01026
Hindustan Foods Ltd.,CONSUMER GOODS,HNDFDS,EQ,INE254N01018
Hindustan Oil Exploration Co. Ltd.,OIL & GAS,HINDOILEXP,EQ,INE345A01011
Honda India Power Products Ltd.,INDUSTRIAL MANUFACTURING,HONDAPOWER,EQ,INE634A01018
I G Petrochemicals Ltd.,CHEMICALS,IGPL,EQ,INE204A01010
ICRA Ltd.,FINANCIAL SERVICES,ICRA,EQ,INE725G01011
IFCI Ltd.,FINANCIAL SERVICES,IFCI,EQ,INE039A01010
IIFL Securities Ltd.,FINANCIAL SERVICES,IIFLSEC,EQ,INE489L01022
INEOS Styrolution India Ltd.,CHEMICALS,INEOSSTYRO,EQ,INE189B01011
ITD Cementation India Ltd.,CONSTRUCTION,ITDCEM,EQ,INE686A01026
Igarashi Motors India Ltd.,AUTOMOBILE,IGARASHI,EQ,INE188B01013
India Glycols Ltd.,CHEMICALS,INDIAGLYCO,EQ,INE560A01015
India Nippon Electricals Ltd.,AUTOMOBILE,INDNIPPON,EQ,INE092B01025
India Tourism Development Corporation Ltd.,CONSUMER SERVICES,ITDC,EQ,INE353K01014
Indian Hume Pipe Co. Ltd.,INDUSTRIAL MANUFACTURING,INDIANHUME,EQ,INE323C01030
Indian Metals & Ferro Alloys Ltd.,METALS,IMFA,EQ,INE919H01018
IndoStar Capital Finance Ltd.,FINANCIAL SERVICES,INDOSTAR,EQ,INE896L01010
Inox Wind Ltd.,INDUSTRIAL MANUFACTURING,INOXWIND,EQ,INE066P01011
Insecticides (I) Ltd.,FERTILISERS & PESTICIDES,INSECTICID,EQ,INE070I01018
J.Kumar Infraprojects Ltd.,CONSTRUCTION,JKIL,EQ,INE576I01022
JBM Auto Ltd.,AUTOMOBILE,JBMA,EQ,INE927D01028
JMC Projects (India) Ltd.,CONSTRUCTION,JMCPROJECT,EQ,INE890A01024
JSW Holdings Ltd.,FINANCIAL SERVICES,JSWHL,EQ,INE824G01012
JSW Ispat Special Products Ltd.,METALS,JSWISPL,EQ,INE743C01021
Jagran Prakashan Ltd.,"MEDIA, ENTERTAINMENT & PUBLICATION",JAGRAN,EQ,INE199G01027
Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,JAICORPLTD,EQ,INE070D01027
Jaiprakash Associates Ltd.,CONSTRUCTION,JPASSOCIAT,EQ,INE455F01025
Jaiprakash Power Ventures Ltd.,POWER,JPPOWER,EQ,INE351F01018
Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,J&KBANK,EQ,INE168A01041
Jindal Poly Films Ltd.,INDUSTRIAL MANUFACTURING,JINDALPOLY,EQ,INE197D01010
Jindal Worldwide Ltd.,TEXTILES,JINDWORLD,EQ,INE247D01039
