Company Name,Industry,Symbol,Series,ISIN Code
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027
Gujarat Gas Ltd.,OIL & GAS,GUJGASLTD,EQ,INE844O01030
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,EQ,INE092T01019
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026
MRF Ltd.,AUTOMOBILE,MRF,EQ,INE883A01011
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL,EQ,INE180A01020
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022
Petronet LNG Ltd.,OIL & GAS,PETRONET,EQ,INE347G01014
REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
SRF Ltd.,CHEMICALS,SRF,EQ,INE647A01010
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037
Trent Ltd.,CONSUMER SERVICES,TRENT,EQ,INE849A01020
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021
Zee Entertainment Enterprises Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,ZEEL,EQ,INE256A01028
