Company Name,Industry,Symbol,Series,ISIN Code
3M India Ltd.,CONSUMER GOODS,3MINDIA,EQ,INE470A01017
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,EQ,INE117A01022
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,EQ,INE212H01026
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01027
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017
Aarti Drugs Ltd.,PHARMA,AARTIDRUGS,EQ,INE767A01016
Aarti Industries Ltd.,CHEMICALS,AARTIIND,EQ,INE769A01020
Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS,EQ,INE216P01012
Abbott India Ltd.,PHARMA,ABBOTINDIA,EQ,INE358A01014
Adani Total Gas Ltd.,OIL & GAS,ATGL,BE,INE399L01023
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,EQ,INE674K01013
Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES,ABFRL,EQ,INE647O01011
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ,INE837H01020
Aegis Logistics Ltd.,SERVICES,AEGISCHEM,EQ,INE208C01025
Affle (India) Ltd.,IT,AFFLE,EQ,INE00WC01027
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049
Alembic Ltd.,PHARMA,ALEMBICLTD,EQ,INE426A01027
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ,INE901L01018
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014
Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,EQ,INE150B01039
Alok Industries Ltd.,TEXTILES,ALOKINDS,EQ,INE270A01029
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,EQ,INE371P01015
Angel One Ltd.,FINANCIAL SERVICES,ANGELONE,EQ,INE732I01013
Anupam Rasayan India Ltd.,CHEMICALS,ANURAS,EQ,INE930P01018
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA,EQ,INE439A01020
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,EQ,INE442H01029
Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,EQ,INE914M01019
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,EQ,INE203A01020
Astral Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,EQ,INE006I01046
Atul Ltd.,CHEMICALS,ATUL,EQ,INE100A01010
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01038
BASF India Ltd.,CHEMICALS,BASF,EQ,INE373A01013
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016
BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025
Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON,EQ,INE933K01021
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025
Balaji Amines Ltd.,CHEMICALS,BALAMINES,EQ,INE050E01027
