Company Name,Industry,Symbol,Series,ISIN Code
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,EQ,INE212H01026
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Adani Total Gas Ltd.,OIL & GAS,ATGL,BE,INE399L01023
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01021
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019
Gujarat State Petronet Ltd.,OIL & GAS,GSPL,EQ,INE246F01010
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026
Hindustan Petroleum Corporation Ltd.,OIL & GAS,HINDPETRO,EQ,INE094A01015
Indian Oil Corporation Ltd.,OIL & GAS,IOC,EQ,INE242A01010
Indraprastha Gas Ltd.,OIL & GAS,IGL,EQ,INE203G01027
InterGlobe Aviation Ltd.,SERVICES,INDIGO,EQ,INE646L01027
MRF Ltd.,AUTOMOBILE,MRF,EQ,INE883A01011
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010
Petronet LNG Ltd.,OIL & GAS,PETRONET,EQ,INE347G01014
Reliance Industries Ltd.,OIL & GAS,RELIANCE,EQ,INE002A01018
Sundram Fasteners Ltd.,AUTOMOBILE,SUNDRMFAST,EQ,INE387A01021
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022
Tube Investments of India Ltd.,AUTOMOBILE,TIINDIA,EQ,INE974X01010
