Company Name,Industry,Symbol,Series,ISIN Code
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
Avenue Supermarts Ltd.,CONSUMER SERVICES,DMART,EQ,INE192R01011
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,EQ,INE299U01018
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,EQ,INE935N01020
Emami Ltd.,CONSUMER GOODS,EMAMILTD,EQ,INE548C01032
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025
Info Edge (India) Ltd.,CONSUMER SERVICES,NAUKRI,EQ,INE663F01024
InterGlobe Aviation Ltd.,SERVICES,INDIGO,EQ,INE646L01027
Kansai Nerolac Paints Ltd.,CONSUMER GOODS,KANSAINER,EQ,INE531A01024
Marico Ltd.,CONSUMER GOODS,MARICO,EQ,INE196A01026
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,EQ,INE239A01016
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014
Tata Communications Ltd.,TELECOM,TATACOMM,EQ,INE151A01013
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,EQ,INE192A01025
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028
Trent Ltd.,CONSUMER SERVICES,TRENT,EQ,INE849A01020
United Breweries Ltd.,CONSUMER GOODS,UBL,EQ,INE686F01025
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,EQ,INE854D01024
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021
Zee Entertainment Enterprises Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,ZEEL,EQ,INE256A01028
