Company Name,Industry,Symbol,Series,ISIN Code
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019
Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,HAL,EQ,INE066F01012
Hindustan Petroleum Corporation Ltd.,OIL & GAS,HINDPETRO,EQ,INE094A01015
Indian Oil Corporation Ltd.,OIL & GAS,IOC,EQ,INE242A01010
Indian Railway Catering And Tourism Corporation Ltd.,SERVICES,IRCTC,EQ,INE335Y01020
NHPC Ltd.,POWER,NHPC,EQ,INE848E01016
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,EQ,INE213A01029
Oil India Ltd.,OIL & GAS,OIL,EQ,INE274J01014
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010
REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
