Company Name,Industry,Symbol,Series,ISIN Code
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,EQ,INE791I01019
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027
Hemisphere Properties India Ltd.,CONSTRUCTION,HEMIPROP,EQ,INE0AJG01018
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,EQ,INE069I01010
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,EQ,INE093I01010
Phoenix Mills Ltd.,CONSTRUCTION,PHOENIXLTD,EQ,INE211B01039
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,EQ,INE811K01011
Sobha Ltd.,CONSTRUCTION,SOBHA,EQ,INE671H01015
Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK,EQ,INE805D01034
