Company Name,Industry,Symbol,Series,ISIN Code
ABB Power Products and Systems India Ltd.,INDUSTRIAL MANUFACTURING,POWERINDIA,EQ,INE07Y701011
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01027
Aarti Drugs Ltd.,PHARMA,AARTIDRUGS,EQ,INE767A01016
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ,INE837H01020
Aegis Logistics Ltd.,SERVICES,AEGISCHEM,EQ,INE208C01025
Affle (India) Ltd.,IT,AFFLE,BE,INE00WC01019
Alembic Ltd.,PHARMA,ALEMBICLTD,EQ,INE426A01027
Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,EQ,INE150B01039
Alok Industries Ltd.,TEXTILES,ALOKINDS,EQ,INE270A01029
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,EQ,INE371P01015
Angel Broking Ltd.,FINANCIAL SERVICES,ANGELBRKG,EQ,INE732I01013
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA,EQ,INE439A01020
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,EQ,INE442H01029
Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,EQ,INE914M01019
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01038
BASF India Ltd.,CHEMICALS,BASF,EQ,INE373A01013
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016
BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025
Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON,EQ,INE933K01021
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025
Balaji Amines Ltd.,CHEMICALS,BALAMINES,EQ,INE050E01027
Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING,BALMLAWRIE,EQ,INE164A01016
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028
Bank of Maharashtra.,FINANCIAL SERVICES,MAHABANK,EQ,INE457A01014
Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL,EQ,INE171Z01018
Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES,BHARATRAS,EQ,INE838B01013
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,EQ,INE340A01012
Birlasoft Ltd.,IT,BSOFT,EQ,INE836A01035
Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,EQ,INE416D01022
Blue Dart Express Ltd.,SERVICES,BLUEDART,EQ,INE233B01017
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,EQ,INE472A01039
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,EQ,INE791I01019
Burger King India Ltd.,CONSUMER SERVICES,BURGERKING,EQ,INE07T201019
CCL Products (I) Ltd.,CONSUMER GOODS,CCL,EQ,INE421D01022
CSB Bank Ltd.,FINANCIAL SERVICES,CSBBANK,EQ,INE679A01013
