Company Name,Industry,Symbol,Series,ISIN Code
A B Infrabuild Ltd.,CONSTRUCTION,ABINFRA,SM,INE00YB01017
AAA Technologies Ltd.,IT,AAATECH,SM,INE0D0U01013
ANI Integrated Services Ltd.,SERVICES,AISL,SM,INE635Y01015
ASL Industries Ltd.,AUTOMOBILE,ASLIND,SM,INE617I01024
AVG Logistics Ltd.,SERVICES,AVG,SM,INE680Z01018
AVRO INDIA LTD.,CONSUMER GOODS,AVROIND,SM,INE652Z01017
Abhishek Integrations Ltd.,SERVICES,AILIMITED,SM,INE0CAJ01017
Accord Synergy Ltd.,SERVICES,ACCORD,SM,INE113X01015
Ace Integrated Solutions Ltd.,SERVICES,ACEINTEG,SM,INE543V01017
Ambani Organics Ltd.,CHEMICALS,AMBANIORG,SM,INE00C501018
Atal Realtech Ltd.,CONSTRUCTION,ATALREAL,SM,INE0ALR01011
Aurangabad Distillery Ltd.,CONSUMER GOODS,AURDIS,SM,INE448V01019
B&B Triplewall Containers Ltd.,INDUSTRIAL MANUFACTURING,BBTCL,SM,INE01EE01011
BEW Engineering Ltd.,INDUSTRIAL MANUFACTURING,BEWLTD,SM,INE0HQI01014
Beta Drugs Ltd.,PHARMA,BETA,SM,INE351Y01019
Bodhi Tree Multimedia ltd.,MEDIA ENTERTAINMENT & PUBLICATION,BTML,SM,INE0EEJ01015
Bombay Metrics Supply Chain Ltd.,INDUSTRIAL MANUFACTURING,BMETRICS,SM,INE0I3Y01014
Bright Solar Ltd.,INDUSTRIAL MANUFACTURING,BRIGHT,SM,INE684Z01010
CMM Infraprojects Ltd.,CONSTRUCTION,CMMIPL,SM,INE289S01013
Cadsys (India) Ltd.,IT,CADSYS,SM,INE090Y01013
Continental Seeds and Chemicals Ltd.,SERVICES,CONTI,SM,INE340Z01019
D.K. Enterprises Global Ltd.,INDUSTRIAL MANUFACTURING,DKEGL,SM,INE0GN101014
DC Infotech and Communication Ltd.,SERVICES,DCI,SM,INE0A1101019
DU Digital Technologies Ltd.,CONSUMER SERVICES,DUDIGITAL,SM,INE0HPK01012
Debock Industries Ltd.,INDUSTRIAL MANUFACTURING,DIL,SM,INE411Y01011
Destiny Logistics & Infra Ltd.,SERVICES,DESTINY,SM,INE0IGO01011
Dhanuka Realty Ltd.,CONSTRUCTION,DRL,SM,INE704V01015
Dynamic Services & Security Ltd.,SERVICES,DYNAMIC,SM,INE0DZ701010
E2E Networks Ltd.,IT,E2E,SM,INE255Z01019
Emkay Taps and Cutting Tools Ltd.,INDUSTRIAL MANUFACTURING,EMKAYTOOLS,SM,INE332S01011
