Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
3MINDIA.NS,24863.19921875,2021-10-02,,,,,,,20211002,24863.19921875,1,,,,
AIAENG.NS,1928.9000244140625,2021-10-02,,,,,,,20211002,1928.9000244140625,1,,,,
ASTRAL.NS,2199.800048828125,2021-10-02,,,,,,,20211002,2199.800048828125,1,,,,
CANBK.NS,176.85000610351562,2021-10-02,,,,,,,20211002,176.85000610351562,1,,,,
IDBI.NS,49.95000076293945,2021-10-02,,,,,,,20211002,49.95000076293945,1,,,,
MINDTREE.NS,4184.60009765625,2021-10-02,,,,,,,20211002,4184.60009765625,1,,,,
TRENT.NS,1044.3499755859375,2021-10-02,,,,,,,20211002,1044.3499755859375,1,,,,
IDEA.NS,11.399999618530273,2021-10-02,,,,,,,20211002,11.399999618530273,1,,,,
ADANIGREEN.NS,1151.050048828125,2021-10-02,,,,,,,20211002,1151.050048828125,1,,,,
BHARTIARTL.NS,675.9000244140625,2021-10-02,,,,,,,20211002,675.9000244140625,1,,,,
ICICIGI.NS,1582.550048828125,2021-10-02,,,,,,,20211002,1582.550048828125,1,,,,
INDUSTOWER.NS,315.6000061035156,2021-10-02,,,,,,,20211002,315.6000061035156,1,,,,
BLUESTARCO.NS,909.4000244140625,2021-10-02,,,,,,,20211002,909.4000244140625,1,,,,
MCX.NS,1671.8499755859375,2021-10-02,,,,,,,20211002,1671.8499755859375,1,,,,
CANFINHOME.NS,671.1500244140625,2021-10-02,,,,,,,20211002,671.1500244140625,1,,,,
CARBORUNIV.NS,872.9000244140625,2021-10-02,,,,,,,20211002,872.9000244140625,1,,,,
KARURVYSYA.NS,47.0,2021-10-02,,,,,,,20211002,47.0,1,,,,
KEI.NS,965.4500122070312,2021-10-02,,,,,,,20211002,965.4500122070312,1,,,,
DELTACORP.NS,281.29998779296875,2021-10-02,,,,,,,20211002,281.29998779296875,1,,,,
SUNTECK.NS,484.54998779296875,2021-10-02,,,,,,,20211002,484.54998779296875,1,,,,
SWSOLAR.NS,403.95001220703125,2021-10-02,,,,,,,20211002,403.95001220703125,1,,,,
KOLTEPATIL.NS,323.75,2021-10-02,,,,,,,20211002,323.75,1,,,,
PAISALO.NS,882.9000244140625,2021-10-02,,,,,,,20211002,882.9000244140625,1,,,,
REPCOHOME.NS,306.75,2021-10-02,,,,,,,20211002,306.75,1,,,,
TEJASNET.NS,517.5,2021-10-02,,,,,,,20211002,517.5,1,,,,
3MINDIA.NS,25653.80078125,2021-10-09,,,,,,,20211009,25653.80078125,1,,,,
ASTRAL.NS,2249.35009765625,2021-10-09,,,,,,,20211009,2249.35009765625,1,,,,
IDBI.NS,47.849998474121094,2021-10-09,,,,,,,20211009,47.849998474121094,1,,,,
INDHOTEL.NS,202.64999389648438,2021-10-09,,,,,,,20211009,202.64999389648438,1,,,,
MINDTREE.NS,4454.60009765625,2021-10-09,,,,,,,20211009,4454.60009765625,1,,,,
OIL.NS,239.75,2021-10-09,,,,,,,20211009,239.75,1,,,,
IDEA.NS,11.350000381469727,2021-10-09,,,,,,,20211009,11.350000381469727,1,,,,
ADANIGREEN.NS,1176.550048828125,2021-10-09,,,,,,,20211009,1176.550048828125,1,,,,
COALINDIA.NS,188.4499969482422,2021-10-09,,,,,,,20211009,188.4499969482422,1,,,,
BLUESTARCO.NS,884.9000244140625,2021-10-09,,,,,,,20211009,884.9000244140625,1,,,,
MCX.NS,1922.550048828125,2021-10-09,,,,,,,20211009,1922.550048828125,1,,,,
CANFINHOME.NS,683.0999755859375,2021-10-09,,,,,,,20211009,683.0999755859375,1,,,,
KARURVYSYA.NS,46.599998474121094,2021-10-09,,,,,,,20211009,46.599998474121094,1,,,,
PAISALO.NS,1019.75,2021-10-09,,,,,,,20211009,1019.75,1,,,,
REPCOHOME.NS,316.29998779296875,2021-10-09,,,,,,,20211009,316.29998779296875,1,,,,
TEJASNET.NS,500.3500061035156,2021-10-09,,,,,,,20211009,500.3500061035156,1,,,,
THOMASCOOK.NS,79.69999694824219,2021-10-09,,,,,,,20211009,79.69999694824219,1,,,,
3MINDIA.NS,26013.099609375,2021-10-16,,,,,,,20211016,26013.099609375,1,,,,
ASTRAL.NS,2338.300048828125,2021-10-16,,,,,,,20211016,2338.300048828125,1,,,,
CANBK.NS,193.5500030517578,2021-10-16,,,,,,,20211016,193.5500030517578,1,,,,
DIXON.NS,5511.2998046875,2021-10-16,,,,,,,20211016,5511.2998046875,1,,,,
IDBI.NS,62.5,2021-10-16,,,,,,,20211016,62.5,1,,,,
INDHOTEL.NS,229.5500030517578,2021-10-16,,,,,,,20211016,229.5500030517578,1,,,,
MINDTREE.NS,4691.2001953125,2021-10-16,,,,,,,20211016,4691.2001953125,1,,,,
MPHASIS.NS,3266.60009765625,2021-10-16,,,,,,,20211016,3266.60009765625,1,,,,
OBEROIRLTY.NS,956.3499755859375,2021-10-16,,,,,,,20211016,956.3499755859375,1,,,,
OIL.NS,235.1999969482422,2021-10-16,,,,,,,20211016,235.1999969482422,1,,,,
SRF.NS,2410.89990234375,2021-10-16,,,,,,,20211016,2410.89990234375,1,,,,
COALINDIA.NS,183.8000030517578,2021-10-16,,,,,,,20211016,183.8000030517578,1,,,,
MCX.NS,2067.75,2021-10-16,,,,,,,20211016,2067.75,1,,,,
IEX.NS,793.0999755859375,2021-10-16,,,,,,,20211016,793.0999755859375,1,,,,
CANFINHOME.NS,699.5,2021-10-16,,,,,,,20211016,699.5,1,,,,
DELTACORP.NS,289.8999938964844,2021-10-16,,,,,,,20211016,289.8999938964844,1,,,,
SWSOLAR.NS,438.54998779296875,2021-10-16,,,,,,,20211016,438.54998779296875,1,,,,
NLCINDIA.NS,77.80000305175781,2021-10-16,,,,,,,20211016,77.80000305175781,1,,,,
INOXWIND.NS,129.10000610351562,2021-10-16,,,,,,,20211016,129.10000610351562,1,,,,
PAISALO.NS,1093.6500244140625,2021-10-16,,,,,,,20211016,1093.6500244140625,1,,,,
REPCOHOME.NS,324.1499938964844,2021-10-16,,,,,,,20211016,324.1499938964844,1,,,,
TAJGVK.NS,147.8000030517578,2021-10-16,,,,,,,20211016,147.8000030517578,1,,,,
THOMASCOOK.NS,80.5999984741211,2021-10-16,,,,,,,20211016,80.5999984741211,1,,,,
